[00:00] OK,好了,今天给大家带来第二期视频,雅思知学流程
[10:32] 他很容易打破你的作机节奏的练习
[10:34] 他确实是真体
[10:35] 但我觉得真的没啥用
[10:37] 你不可能说是哎呀
[10:38] 我考试的时候
[10:40] 万一真做到真体
[10:41] 那真体怎么办
[10:42] 那肯定是也有人不排除人做
[10:45] 但那概率也太低了
[10:47] 我觉得没必要去堵这些东西
[10:48] 也没必要去拆这些东西
[10:50] 就不要搞这些人
[10:51] 我觉得脚踏实地做健小的雅士就行了
[10:53] 做完一边就传统在做一边
[10:55] 健小的雅士就是最好的练习制条
[10:56] 而且他免费
[10:58] 你在很多地方都能找到
[11:00] 还有就是
[11:01] 正常他雅士触体
[11:04] 但每一part都是有
[11:05] 有一定逻辑的
[11:07] 他现在比较连贯的
[11:09] 但是你做真体
[11:11] 就是这个真体的时候
[11:11] 因为每次你只能做一小部分
[11:14] 每一part他都不连贯
[11:15] 没什么逻辑
[11:16] 所以你没什么做的必要
[11:17] 而且他就不好复杷
[11:19] 你懂我意思吗
[11:20] 还有就是
[11:21] 各种短时间违背英语逻辑的快速提分课程
[11:25] 什么3天6天5
[11:26] 7天7天5
[11:27] 这种话就是
[11:27] 这种课程就是千万不要去
[11:29] 去动动外形式
[11:31] 他就是
[11:32] 瞄准了你这个新式
[11:34] 快速提分的这个新式
[11:35] 就想当你去买的课
[11:36] 这种课程就跟他动辄
[11:38] 几千吧
[11:39] 上万可能都有
[11:40] 真没啥必要
[11:41] 很多东西都是你能找到的免费资料
[11:43] 没有什么玄乎的东西
[11:44] 他就是英语
[11:45] 哎呀是考的就是考英语
[11:47] 就考你实惠量就考你
[11:48] 就考你的语法理解句子理解
[11:51] 但有什么特别玄乎的东西
[11:52] 没那么玄
[11:54] 就是你真没什么贵
[11:55] 我觉得真没啥用
[11:56] 就很多时候你买的就是一个新安门
[11:58] 一个新丁
[11:59] 就是觉得哎呀我买的这个东西
[12:00] 我可能难道我下一支考试就能考好了
[12:02] 你就想通过花一点钱
[12:04] 感觉自己真的努力一样
[12:06] 就花钱却代替自己的努力
[12:07] 这其实很蠢没有想法
[12:09] 你花你心安
[12:10] 你心不安的时候
[12:11] 你心不定的时候
[12:12] 你还不如花钱去医院挂号做一个心理咨询
[12:15] 这真的还挺有用的
[12:16] 你去做一下心理咨询
[12:18] 他们大部分都是想抓住你
[12:20] 这些课程
[12:21] 大部分都是想抓住你
[12:22] 花一次钱就可以解决所有问题的心理
[12:24] 那真的闹麻了
[12:25] 我说实话
[12:26] 要是真的有这种方法的话
[12:27] 还会在这里慢慢宣传
[12:29] 在微信
[12:30] 让你加到微信买课吗
[12:31] 本质上还是要回归自己英语
[12:33] 英语的能力其认上
[12:35] 就是我说的语法智慧
[12:36] 还有就是我真的有点像说
[12:38] 真的
[12:38] 妈的我说实话
[12:40] 现在只要你开始学雅士各种平台
[12:42] 就发封一样的给你推广的一些广告
[12:45] 什么报分班啊啥的
[12:46] 我真的真的特别蠢
[12:48] 很惹心啊
[12:49] 本来点开一个视频
[12:50] 本来以为是大家
[12:52] 同时天
[12:52] 同时天上轮弱人啊
[12:53] 这是考雅士痛苦的学子
[12:56] 本来是想看大家的建议
[12:57] 结果一点开评论区
[12:58] 就是各种麦克的念叶
[13:00] 真的特别特别惹心
[13:02] 但是有一点要写作的话
[13:03] 我觉得是可以去上点课程
[13:06] 因为写作
[13:07] 他只是讲语法嘛
[13:08] 就是写作本质上还是回归语法
[13:10] 回归剧行
[13:11] 他真的还是能学到一点东西的
[13:13] 啊
[13:14] 幻眼而知写作是你
[13:16] 确实写作是你真正该提高的东西
[13:18] 他是印学写的重中之重
[13:20] 输写能力是最能代表一个人的
[13:23] 英语
[13:23] 英语水平能力的
[13:24] 他最好的
[13:25] 语法feedback
[13:26] 意思是你没写一篇文章
[13:28] 没写一篇
[13:29] Ace
[13:30] 他就你去找AL万里改
[13:32] 或者真的给你改
[13:32] 他会给你个feedback
[13:33] 这个feedback他就会给你讲你的语法
[13:36] 到就是那两年出的问题
[13:38] 然后还是他同时也是最好的词汇掌握测试器
[13:42] 就是你一写你只要一写
[13:44] 你本来觉得这个单词
[13:45] 你掌握了不可能往前一写就爱一块
[13:48] 一块少个单部数
[13:49] 要少个s一块大小钱弄弄丢了一块
[13:52] 一块又拼写错
[13:53] 所以写作这个地方
[13:55] 我觉得你如果你觉得有必要的话
[13:59] 你自己可以找个老师来带一下你
[14:01] 我觉得这个也可以可以啊
[14:04] ok
[14:04] 我们现在回归
[14:06] 呃
[14:07] 主宪主宪任务
[14:09] 就是雅思日常学习的整个流程
[14:11] 首先我的
[14:13] 我的流程是
[14:14] 就早上九点钟起来
[14:15] 然后到十二点就备单词复习单词过单词
[14:18] 然后一点半到下午三点的时候就做整体
[14:22] 三点到五点半
[14:23] 复盘精心记笔记
[14:25] 然后做一点记录啥的
[14:26] 然后七点钟的时候
[14:28] 嗯七点钟到晚上
[14:30] 嗯十点的时候就是写作文改作文
[14:33] 然后看点课程
[14:34] 然后我先说一下啊
[14:35] 就是大家早上起来一定一定一定
[14:39] 一定不要碰手机
[14:41] 第一件事情就是备单词
[14:43] 今天不要用手机备单词
[14:44] 我真不建议大家用手机备单词
[14:46] 你可能备的备的你就去玩抖进去了
[14:47] 真的很容易
[14:48] 你可以用单词如果啥的都都无所谓
[14:51] 我觉得ipad的啥的只要不用手机就行
[14:53] 早上起来的时候
[14:55] 你可以自己喝一杯咖啡啊
[14:57] 能给自己一点仪式感或者接一杯热水
[15:00] 让自己呃
[15:01] 大脑知道自己已经进入了学习状态
[15:03] 我现在的学习模式
[15:04] 公众模式当中
[15:05] 大脑会比较适应这个东西
[15:07] 然后呢
[15:08] 先讲一下如何备单词
[15:10] 备单词它真的就是重复重复重复
[15:13] 还是重复
[15:15] 每日100个到150
[15:16] 你一开始还是要背很多能量
[15:19] 我建议大家一开始不要少
[15:20] 还是多背一点
[15:21] 你多背一点你多重复一点
[15:23] 你反而还会记得快
[15:25] 呃每天的话你就背100个到150个
[15:28] 然后复习就复习150到200个
[15:30] 绝对绝对不能含糊
[15:32] 不会就是不会
[15:33] 如果你再过单词的时候
[15:35] 三秒钟反应不过来它的什么意思
[15:37] 那你就是不会
[15:38] 记住一句话
[15:39] 四会非会就是不会
[15:40] 四懂非懂就是不懂
[15:43] 那不懂装懂那更是不懂
[15:45] 好我现在给大家展示一下
[15:47] 就是怎么备单词
[15:59] 好的正常就是这个单词
[16:01] 你每天你给自己设置了100个以后
[16:05] 自己就会过这个地方
[16:06] 你学完100个以后
[16:07] 呃就行了
[16:09] 然后就过这个大概花一个小时左右
[16:11] 然后你学完以后
[16:12] 你天天不能学100个嘛
[16:13] 第二天的话
[16:14] 你又要学新的100个
[16:15] 然后就会复习
[16:16] 复习的时候呢
[16:18] 让我再再自己给大家演示一下稍等一下
[16:20] 因为我太久没背了
[16:21] 这些都看到我签了1000多个
[16:23] 那没办法
[16:24] 我太久没考试了
[16:28] 稍等
[16:29] interrupt
[16:30] ok
[16:30] 比如说interrupt什么意思
[16:32] 哦你想三秒
[16:33] 一二三
[16:34] 不知道就马上就点不认识
[16:36] 不要不要不要想啥
[16:37] 就马上就点不认识
[16:39] 不要想其他有的没的
[16:40] 知道你看到这些
[16:42] 你要是一秒三秒钟之间
[16:44] 能想到他什么意思
[16:45] 有点认识
[16:46] 如果不认识的话
[16:47] 有点模糊了
[16:48] 马上要点记错了
[16:49] 一定一定不要骗自己
[16:51] 不可以就是不会好吗
[16:53] 又给他演示一下
[16:54] 还有每当你背了呃
[16:57] 100个单词以后
[16:58] 你可以
[16:59] 比如说你背了500个单词以后
[17:01] 因为每天被100多个嘛
[17:02] 你背了500个单词以后
[17:04] 你可以背完以后
[17:05] 每天背了新的
[17:06] 然后并且复习的
[17:07] 就了以后
[17:08] 你可以再做一个事情
[17:09] 什么事情呢
[17:10] 给大家演示一下啊
[17:12] 就是用了这个是不被单词的
[17:13] 一般用这个
[17:14] 你用其他也可以
[17:15] 然后就是这里
[17:16] 呃我看一下就是在这个地方
[17:20] 就是这个地方有这个
[17:21] 你点进去这个地方
[17:22] 他有个呈性刷
[17:23] 呈性刷词
[17:24] 然后比如说
[17:25] 你背了第一张
[17:26] 他就有200多个词会
[17:28] 你背完以后
[17:29] 呃每天新的也背完了
[17:31] 就了也复习完
[17:32] 你就可以开始过单词
[17:34] 过单词就我刚刚说的那个
[17:36] 呃就是不要含糊
[17:38] 只要你三秒钟
[17:39] 不知道他的什么意思
[17:41] 你就马上就点
[17:42] 呃你不知道他什么意思
[17:43] 就把它
[17:44] 就把它呃那个收藏起来
[17:46] 然后继续背
[17:47] 就是你看了
[17:48] 看到这个单词听到他声音以后
[17:50] 如果你想不出他的中文意思
[17:52] 就马上就要
[17:53] 把他标入记号
[17:55] 然后呃
[17:56] 下来再好去整理一下
[17:58] 去好好背这个单词
[17:59] 一定一定要这么做
[18:00] 然后你就可以这样一直过
[18:02] 过500个
[18:03] 直接背完一张以后
[18:04] 比如说我背完第一张以后
[18:06] 200个对不对
[18:06] 我每天背了新的
[18:07] 背了新的150个以后
[18:09] 然后又复习了
[18:10] 就了151个以后
[18:11] 我就可以开始这样快速的过
[18:13] 就想看看中文
[18:14] 看中文看看英文想中文
[18:16] 看英文讲的那样过过过过过过
[18:18] 一样过过过过
[18:19] 但是一
[18:20] 英不能含糊
[18:21] 我说了
[18:22] 那样过
[18:22] 随着你背的越来越多越来越多
[18:24] 比如说我已经背了1000个怎么办
[18:26] 那就过1000个
[18:27] 就是你每天背了新的
[18:28] 又背了旧的
[18:29] 你背1000
[18:30] 就过1000个
[18:31] 过过过
[18:32] 不要觉得1000个很多
[18:33] 我觉得这真的是挺有必要的
[18:35] 但1000个是上下
[18:36] 因为这个本书整个单词
[18:38] 好像你就有3600个对不对
[18:40] 你比如说你要是玩完整整背完以后
[18:42] 因为很多同学他背的单词背的后期以后
[18:44] 他已经背完了
[18:45] 他不知道怎么办
[18:46] 所以我又建议你说的复习就了以后
[18:48] 你就这样一直过
[18:49] 每天1000个1000个1000个
[18:51] 就这样过过过
[18:52] 一天就过1000个都行了
[18:53] 因为太多的话
[18:54] 你会疲惫
[18:55] 你会记不住
[18:56] 你会没有用
[18:56] 你就不想学了
[18:58] 1000个我觉得是个上下
[19:00] OK
[19:01] 好
[19:01] 我们回到我们的课程
[19:07] OK
[19:07] 然后就是中午吃完饭
[19:09] 然后我们下午就开始刷题了
[19:12] OK
[19:13] 对了
[19:14] 上面我再讲一点
[19:15] 单词
[19:17] 就是你不要花特别多的时间
[19:20] 在理解意识上面
[19:21] 你就正常知道他的意思就行了
[19:23] 不要去扣字眼
[19:25] 如果你实在理解不了这个意思
[19:28] 比如说
[19:29] 比如说这个单词
[19:31] 给大家演示一下
[19:34] 就是
[19:35] Turrenty这个单词
[19:36] 他的那个中文单词
[19:38] 炸的中文语就是这个
[19:40] 无精
[19:41] 不是那个不是炸的无精
[19:43] 他这个单词
[19:44] 正常我也不知道这个中文语就是什么
[19:46] 然后后面去查一下
[19:47] 查Ai发现
[19:48] 他就是一种罗吧
[19:49] 知道吧
[19:50] 所以你只用遇到这种
[19:51] 你连中文都看不懂他什么意思的时候
[19:53] 你再去查一下
[19:54] 这种单词你再去查一下
[19:56] 不要对很多单词去扣字眼
[19:58] 就是正常记忆就行了
[19:59] 不要不要想那么多
[20:00] 就是单词记得单词就一点
[20:02] 重复重复还是重复
[20:03] 不要想
[20:04] 也不要惹没的
[20:05] 还有就是单词很重要一点
[20:07] 你发音他也要记
[20:09] 因为你听力嘛
[20:10] 大部分的时候
[20:11] 你就是考你那个对单词的发音
[20:13] 他属于手系
[20:13] 拼写也要记
[20:15] 拼写真的还是非常重要
[20:17] 我很多同学他不爱记拼写
[20:19] 但是我觉得你是有必要花一定的时间
[20:21] 去记拼写的
[20:23] 而且你前期花很多时间
[20:25] 去把拼写都记牢了啥的
[20:26] 你后期处理单词的时候真的很轻松的
[20:29] 你前期那一点没有
[20:30] 没有不所谓
[20:31] 然后是不记拼写的话
[20:33] 很大程度上会影响你
[20:36] 掌握这个单词的进程
[20:37] 拼写是记单词的一个很有必要的一个过程
[20:41] 一个部分
[20:43] 因为听力他有前控题
[20:44] 还有写作
[20:46] 写作你要也要写单词
[20:47] 对不对
[20:48] 如果你前控题写错了
[20:49] 因为被单
[20:50] 因为单词没有单词问题
[20:52] 没有记到的问题
[20:53] 拼写错误真的非常不应该
[20:55] 那一分就没了
[20:56] 你想想
[20:57] 嗯
[20:57] 这雅诗听力
[20:59] 他就404040空
[21:01] 那就40分
[21:02] 你要是
[21:03] 前控题你错了一个
[21:05] 比如说你本来30分
[21:06] 30分就是7分
[21:07] 对不对
[21:08] 你要是错了一个拼写错误
[21:09] 你变29
[21:09] 那就是6.5
[21:10] 那就是天涯
[21:11] 6.5跟7分别天涯
[21:12] 所以说
[21:13] 拼写一定要好好记
[21:15] 还有写作的时候
[21:16] 你拼写好拼好了以后
[21:18] 你单写作的时候单词
[21:20] 他就不会写错
[21:20] 就不会扣你分了
[21:21] 都不懂
[21:22] 所以
[21:23] 单词
[21:23] 但是没有记住含量一词
[21:24] 就是重复
[21:25] 重复
[21:26] 然后有耐心
[21:27] 就行了
[21:27] 比较想不懂
[21:28] OK
[21:28] 好我们去讲刷题
[21:29] 因为你五岁过后以后
[21:31] 就可以直接开始做一套听力阅读
[21:33] 写得不行
[21:33] 我还是建议大家五岁
[21:35] 我觉得五岁还是挺重要的
[21:38] 五岁我觉得人能让我整个
[21:39] 下午的这个精神状态过得非常好
[21:43] 然后给大家讲一下听力技巧
[21:45] 就是你听力技巧就是
[21:48] 听懂选项
[21:50] 然后读懂选项
[21:52] 读懂题目
[21:53] 然后直接把它翻译出来并记忆
[21:55] 什么意思呢
[21:56] OK我们给大家演示一下
[22:00] 又假设
[22:01] 我们来看这个
[22:07] 稍等一下
[22:07] 这个网络不是非常好
[22:13] OK
[22:14] 我说的看懂选项
[22:16] 不是pod1pod
[22:17] pod4
[22:18] pod1pod4
[22:19] 它比较简单
[22:20] 不用想那么多
[22:21] 主要是pod
[22:22] pod2pod3
[22:23] 比如说
[22:24] 这种
[22:25] pod3
[22:26] OK
[22:27] 像这种匹配题
[22:29] 对不对
[22:30] 你第一眼你就要把这些
[22:32] 这些选项的什么中文意思
[22:33] 你马上就要把它翻译出来
[22:35] 一定要
[22:35] 一定要想清楚
[22:36] 就是看一眼你就要把它翻译出来
[22:38] 看一眼你就要把它翻译出来
[22:39] 不要想那么多
[22:40] 有的没的
[22:41] 知道吗
[22:41] 就是这个是很重要的一点
[22:43] 你只要把这个记得
[22:44] 其实你把这个事情说
[22:46] 你记得上期真的没这么难
[22:48] 你只要把匹配题的主要意识搞懂
[22:50] 就直接翻译出来就行
[22:51] 真的
[22:52] 真的真的
[22:53] 我觉得这是个很核心的一点
[22:55] 这边它的题的那个
[22:56] 匹配题不是这么多
[22:57] 我们找一个匹配题多一点的题来看一下
[23:01] 随便找一个
[23:02] 我也太久没做了
[23:04] 我也太清楚了
[23:05] 看一下这个吧
[23:13] OK
[23:13] 像这种
[23:14] 你它是不是有这种选项
[23:15] 你开始是不是有人选项
[23:17] 对
[23:17] 你看题的时候
[23:18] 你要用最快的时间
[23:20] 把这个选项给翻译出来
[23:22] 记得吗
[23:22] 这个是个很重要的事情
[23:24] 也很有必要的
[23:25] 这个需要训练
[23:27] 比如说你一开始的时候
[23:28] 你会觉得很难
[23:29] 所以你后期的时候
[23:30] 你开始训练的时候
[23:31] 不要后期
[23:31] 前期
[23:33] 你每天做案题
[23:33] 后复杖完后
[23:34] 你要花一定的时间去做这个训练
[23:36] 就是怎么做训练就是
[23:38] 我就看这个题
[23:39] 我就看这个东西
[23:40] 一眼看着觉得它什么意思
[23:41] 一眼看过觉得它什么意思
[23:42] 一眼看过觉得什么意思
[23:43] 我要立马把它翻译过来
[23:44] 要让你的脑子里面有印象
[23:46] 因为你要做题的时候
[23:47] 你看一眼题
[23:48] 再看一眼选项
[23:49] 看一眼题
[23:50] 再看一眼选项
[23:51] 就会很容易跟不上
[23:53] 但是如果你提前把他
[23:54] 在你的脑袋里面翻译
[23:55] 你就存了一个印象以后
[23:57] 你做题就是
[23:57] 真的等他放那个录音的时候
[23:59] 你才会比较游刃有余
[24:02] 懂我意思吗
[24:02] 还有给大家讲一个技巧就是
[24:05] 首先我们做题的时候
[24:06] 大陆是一开始的时候
[24:07] 不会放那个放一点
[24:10] 没用的话
[24:10] 我们比如说怎么
[24:11] I was ready to cancel
[24:12] 什么什么一堆信息啥的
[24:14] 这个时候抓紧这个时间
[24:16] 我们比如说一开始的时候
[24:19] 听那个点
[24:19] 听他在放一些录音
[24:21] 已经开始放录音了
[24:22] 讲一些没用的话的时候
[24:23] 然后就要快速的扫一页
[24:26] Pout 1
[24:27] 就确保他确确实是填功题
[24:30] 因为有的Pout 1
[24:31] 他会给你放选择题
[24:32] 这是很不常见
